source;page;type;content
7 April 2024 regarding amendments on an initiative to finance industrial  agricultural private secto.pdf;1;PDF;القاهرة في:٧ ابريل ٢٠٢٠ السيد الأستاذ / رنيس مجلس الإدارة بنك تحية طيبة وبعدء بالإشارة إلى كتاب البنك المركزي الصادر في ٧ مارس ٢٠٢٠ بشأن موافقة مجلس الوزراء على اصدار مبادرة لتمويل شركات القطاع الخاص الصناعية والزراعية وفقا لمحددات وزارة المالية بسعر عاند ١١% متناقص اود الإفادة أن مجلس الوزراء قد وافق بجلسته رقم ٢٨٤ المنعقدة بتاريخ ٣ ابريل ٢٠٢٠ على تعديل بعض محددات المبادرة المشار اليها عاليه اعتبارأ من ٤ ابريل ٢٠٢٠ ، وذلك على النحو التالي :- أن يكون سعر العائد الذي يتحمله العميل ١٥% متناقص بدلا من %١١ متناقص وعلى ان تتم مراجعة سعر العاند الساري خلال ثلاثة اشهر على الأكثر أو عند تعديل سعر الائتمان 9 الخصم. زيادة الحد الأقصى لتمويل العميل الواحد ليصل إلى ٠ ٠ ١ مليون جنيه بدلا من ٧٥ مليون جنيه وللعميل الواحد والأطراف المرتبطة به مبلغ ١٥٠ مليون جنيه بدلا من ١١٢,٥ مليون جنيه وذلك بهدف إتاحة مبالغ أكبر للعميل الواحد وأطرافه المرتبطة بما يعظم الاستفادة من المبادرة . ٣ يتم تطبيق هذه التعديلات على أية قروض جديدة وأي مسحوبات جديدة لتمويل رأس المال العامل ( أيان يتم الاستمرار في تطبيق عاند %١١ متناقص على الجزء المستخدم وماسيتم استخدامه في الحدود السابق التعاقد عليها وذلك بالنسبة للقروض الحالية المو _ جهة لتمويل الآلات ومعدات وكذا الرصيد المستخدم _في تمويل راس المال العامل في تاريخ هذا القرار وحتى تاريخ استحقاقها . وذلك أخذا في الاعتبار وجود تعاقدات فعلية على قروض متو _ سطة الأجل ومبالغ مستخدمة تحت تسهيلات ائتمانية لتمويل أس المال العامل . برجاء التفضل بالتنبيه نحو اتخاذ اللازم في هذا الشان. وتفضلوا بقبول وافر الاحترام طارق الخولي
CBE Law No. 194 of 2020.pdf;1;PDF;بسمالرةممنالريلم جمهوديت مصبسدالع بيت رناست جهوتيتا اججلااإسميت الثمن ٤ جنيهات السنة الصادر فى ٢٧ الحرم ' سنة ١٤٤٢ ه الموافق + ١٥ سبتمبر سنة ٢٠٢٠ م ) العسدد ٣٧ مكرر ( و ) الثالثة والستون
CBE Law No. 194 of 2020.pdf;2;PDF;الجريدة الرسمية العدد ٣٧ مكرر ( فى ٥ سبتمبر سنة ٢٠٢٠ قانون رقم ١٩٤ لسنة ٢٠٢٠ بإصدار قانون البنك المركزى والجهاز المصرفى باسم الشعب رئيس الجمورية قرر مجلس النواب القانون _الآتى نصه وقد أصدرناه ( المادة الا'ولى تسرى أحكام القانون المرافق على البنك المركزى والجهاز المصرفى وشركات الصرافة وشركات تحويل الأموال وشركات الاستعلام والتصنيف الائتمانى وشركات ضمان الائتمان ومشغلى نظم الدفع ومقدمى خدمات الدفع ( المادة الثانية تسرى على البنوك والشركات المخاطبة بأحكام القانون المرافق فيما لم يرد فى شأنه نص فيه أوفى اللوائح والقرارات الصادرة تنفيذا له أحكام قانون شركات المساهمة وشركات التوصية بالأسهم والشركات ذات المسئولية المحدودة وشركات الشخص الواحد الصادر بالقانون رقم ٩ ٥ لسنة ١٩٨١ ويكون البنك المركزى هوالجهة الإدارية المختصة ومحافظ البنك المركزى هو الوزير المختص فى تطبيق أحكام قانون شركات المساهمة وشركات التوصية بالأسهم والشركات ذات المسنولية المحدودة وشركات الشخص الواحد المشار إليه بالنسبة للجهات الخاضعة لإشرافه طبقًا لأحكام القانون المرافق كما تسرى _ أحكام قانون التجارة الصادر بالقانون رقم ١٧ لسنة ١٩٩٩ على معاملات البنوك مع عملائها تجارً كانوا أوغير تجار أيًا كانت طبيعة هذه المعاملات
CBE Law No. 194 of 2020.pdf;3;PDF;"الجريدة الرسمية العدد ٣٧ مكرر ( فى ٥ سبتمبر سنة ٢٠٢٠ ( امادة الثالثة تستبدل عبارة ""البنوك المملوكة أسهمها بالكامل للدولة"" بعبارة "" بنوك القطاع العام "" أينما وردت فى القوانين والقرارات المعمول بها ( المادة الرابعة يلتزم المخاطبون بأحكام القانون المرافق بتوفيق أوضاعهم طبقًا لأحكامه وذلك خلال مدةلا تجاوز سنة من تاريخ العمل به ولمجلس إدارة البنك المركزي مدهذه المدة لمدة أو لمدد أخرى لا تجاوز سنتين ( اممادة الخامسة يصدر مجلس إدارة البنك المركزى اللوائح والقرارات المنفذة لأحكام القانون المرافق وتنشر فى الوقائع المصرية وإلى أن تصدر هذه اللوائح والقرارات يستمر العمل باللوائح والقرارات القائمة بما لا يتعارض مع أحكامه ( امادة السادسة يستمر مجلس إدارة البنك المركزى بتشكيله الحالى فى مباشرة مهامه واختصاصاته إلى حين انتها مدته كما تستمر مجالس إدارة البنوك بتشكيلاتها الحالية فى مباشرة مهامها واختصاصاتها إلى حين انتها مدة كل منها ( المادة السابعة تلغى قانون البنك المركزى والجهاز المصرفي والنقد الصادر بالقانون رقم ٨٨ لسنة ٣ ٢٠ وتلغى المادة (١٠) من القانون رقم ا لسنة ١٩٤٠ بشأن بيع المحال التجارية ورهنها والمادة (١) من القسانون رقم ٩ لسنة ٩٧٥ بتقرير بعض الحقوق والمزايا للبنك الصناعى"
CBE Law No. 194 of 2020.pdf;4;PDF;الجريدة الرسمية العدد ٣٧ مكرر ( فى ٥ سبتمبر سنة ٢٠٢٠كما تلغى المادة (٩٤) من قانون شركات المساهمة وشركات التوصية بالأسهم والشركات ذات المسئولية المحدودة وشركات الشخص الواحد الصادر بالقانون رقم ١٥٩ لسنة ٩٨١ والمادة ٢١١ من قانون إنشا البنك المصرى لتنمية الصادرات الصادر بالقانون رقم ٩٥ لسنة ١٩٨٣ ومع مراعاة أحكام الاتفاقيات الدولية الخاصة بإنشاء بعض البنوك فى جمهورية مصر العربية يلغى كل حكم يخالف أحكام هذا القانون والقانون المرافق بما فى ذلك الأحكام الواردة بالقوانين اخاصة بإنشاء بعض البنو ك فيما يتعلق بالحد الأدنى _ لرأس ام٧ل واختصاصات البنك المركزى الرقابية والإشرافية والتدخل المبكر وتسوية أوضاع البنوك المتعثرة وسرية _ الحسابات وقواعد التعامل فى النقد الأجنبى ( امادة الثامنة ينشر هذا القانون فى ا لجريدة الرسمية ويعمل به من اليوم التالى لتاريخ نشره يبصم هذا القانون بخاتم الدولة وينفذ كقانون من قوانينها صدر برناسة الجمهورية فى ٢٧ المحرم سنة ٥١٤٤٢ ( الموافق ١٥ سبتمبر سنة ٢٠٢٠م عبد الفتاح السيسى
CBE Law No. 194 of 2020.pdf;5;PDF;الجريدة الرسمية العدد ٣٧ مكرر ( فى ٥ سبتمبر سنة ٢٠٢٠ قانون البنك المركزى والجهاز المصرفى الباب الا'ول التعريفسات مادة (١) : يقصدفى تطبيق أحكام هذا القانون بالكلمات والعبارات التالية المعنى البين قرين كل منها البنك المركزى : البنك المركزي المصرى مجلس الإدارة : مجلس إدارة البنك المركزى المحافظ : محافظ البنك المركزى الجهات المرخص لها : البنوك وشركات الصرافة وشركات الاستعلام والتصنيف الائتمانى وشركات تحويل الأموال وشركات ضمان الائتمان ومشغلو نظم الدفع ومقدمو خدمات الدفع عمليات السوق النتوحة : العمليات التى يجربها البنك المركزى لضخ أو سحب السيولة لدى الجهاز المصرفى مثل ربط ودائع أو إصدار شهادات إيداع أو غيرها من الأدوات الأخرى وكذا التعامل بالشراء أو بالبيع أو _ بالبيع مع إعادة الشراء على الأوراق والأدوات المالية التى يصدرها البنك المركزى والأوراق والأدوات المالية الحكومية المصرية والأوراق المضمونة من الحكومة وغيرها من السندات التى يعينها مجلس الإدارة البنوك : الشركات وفروع البنوك الأجنبية المرخص لها بمزاولة أعمال البنوك طبقًا لأحكام هذا القانون البنوك التخصصة : البنوك المرخص لها بمزاولة بعض أعمال البنوك طبقًا لأحكام هذا القانون البنوك الرقمية : بنوك تقدم الخدمات المصرفية عبر القنوات أو المنصات الرقميحة باستخدام التقنيات التكنولوجية الحديثة
CBE Law No. 194 of 2020.pdf;6;PDF;الجريدة الرسمية العدد ٣٧ مكرر ( فى ٥ سبتمبر سنة ٢٠٢٠الجهات الاجنبية المناظرة : الجهات الأجنبية التى تمارس اختصاصات مماثلة لكل اختصاصات البنك المركزى المنصوص عليها فى هذا القانون أو بعضها سواءً كانت بنوكًا مركزية أو غيرها من الجهات الشركات التابعة : الشركات التى يمتسلك البنك بطريق مباشر أوغير مباشر القدرة على التحكم فى سياستها المالية والتشغيلية أويكون للبنك حصة ملكية تزيد على ٠٥٠١) من أسهمها أومن حقوق التصويت الشركات الشقيتة الشركات التى يمتلك البنك بطريق مباشر أوغير مباشر تأثيرا قويًا عليها لا يصل إلى حد السيطرة أويكون للبنك حصة ملكية من (٠،٢٠) إلى (٠،٥٠) من أسهمها أومن حقوق التصويت الشركة الا'م : الشركة التى يكون أى من البنوك بمثابة شركة تابعة أوشقيقة لها الرقابة المشتركة التعاون بين السلطة المختصة بدولة المقر الرئيسى ونظيرتها بالدولة المضيفة فى مجال الرقابة والإشراف والتدخل المبكر وتسوية الأوضاع والتصفية بالنسبة للبنوك ونظم وخدمات الدفع الرقابة المجمعة : الرقابة على البنك وشركاته وكياناته التابعة والشقيقة أعمال البنوك كل نشاط يتناول بشكل أساسى واعتيادى قبول الودائع والحصول على التمويل واستثمار هذه الأموال فى تقديم التمويل والتسهيلات الائتمانية أو المساهمة فى رءوس أموال الشركات - وكل ما يجرى العرف المصرفى على اعتباره من أعمال البنوك العقود المالية : العقود التى يكون أحد البنوك طرفًا فيها بهدف الحصول على تمسويل أو قروض لأجل من أى نوع . أوالعقود المنظمة للمشتقات المالية المتعلقة بالسلع أو الأوراق آو الأدوات المالية وغيرها بمافى ذلك عقود البيع مع إعادة الشراء والخيارات والمبادلة والعقود الستقبلية والعقود الآجلة العميل كل شخص طبيعى أواعتبارى يتلقى خدمة من إحدى الجهات المرخص لها طبقًا لأحكام هذا القانون
CBE Law No. 194 of 2020.pdf;7;PDF;الجريدة الرسمية العدد ٣٧ مكرر ( فى ٥ سبتمبر سنة ٢٠٢٠المسنولون الرئيسيون . رؤساء وأعضاء مجالس إدارة البنوك والمديرون التنف يذيون المسئولون عن الأنشطة الرئيسية والرقابية التى يصدر بتحديدها وتحديد اختصاصاتها قرار من مجلس الإدارة شروط الجدارة والصلاحية المعايير التى يضعها البنك المركزى للموافقة على تعيين المسئولين الرئيسيين المساهم الرئيسى : المساهم المالك لنسبة تزيد على (٠،١٠) من رأس ام٧ل المصدر للبنك أومن حقوق التصويت سوا بمفرده أومن خلال أطرافه المرتبطة البنك المعبرى : بنك ينشأ لفترة مؤقتة لتسوية أوضاع أى من البنوك المتعثرة طبقًا لأحكام هذا القانون جهات منح الائتمان : الجهات أوالشركات بخلاف البنوك التى تقوم بمنح ائتمان مثل شركات التمويل العقارى والتأجير التمويلى وجمعيات التمويل السيطرة الفعلية : قدرة الشخص وأطرافه المرتبطة على تعيين غالبية أعضا مجلس إدارة شرة أوالتحكم على أى نحوفى القرارات التى يصدرها مجلس إدارتها أوالتحكم فى القرارات التى تصدرعن جمعيتها العامة الاطراف امرتبطة : الأشخاص الذين يجمع بينهم اتفاق بغرض الاستحواذ أوالسيطرة الفعلية على إحدى الشركات والأشخاص الطبيعيون وأقاربهم حتى الدرجة الثانية وكذا الأشخاص الاعتباريون الخاضعون للسيطرة الفعلية لذات الأشخاص . وكذلك مجموع الأشخاص الاعتباريين الخاضعين للسيطرة الفعلية لذات الأشخاص | الذين يكون بينهم اتفاق على ممارسة حقوقهم فى الجمعية العامة أومجلس إدارة الشركة بما يؤدي إلى السيطرة الفعلية على أى منهما خدمات التعهيد الخدمات _ التى تسندها الجهات المرخص لها لطرف ثالث للقيام بأى مهام أو أنشطة نيابة عنها
CBE Law No. 194 of 2020.pdf;8;PDF;الجريدة الرسمية العدد ٣٧ مكرر ( فى ٥ سبتمبر سنة ٢٠٢٠ امدير المؤقت : الشخص المعين بمعرفة البنك المركزي لإدارة أى من البنوك أو مشغلى نظم الدفع أو مقدمى خدمات الدفع طبقًا لأحكام هذا القانون المفوض : الشخص المعين بمعرفة البنك المركزى لإدارة البنك المتعثر وتسوية أوضاعه طبقًا لأحكام هذا القانون المصادقة الإلكترونية : مجموعة من الوسائل التكنولوجية المستخدمة للتحقق من مصدر رسالة ما والتحقق من هوية أحد المشتركين عند اتصاله بالنظام والتأكد من أن رسالة التحقق من الهوية لم يتم تعديلها أواستبدالها أثنا انتقالها وتقوم مقام توقيع العميل امرالدفع : تعليمات يصدرها الدافع أوالمستفيد بناءً على تفويض من الدافع إلى مقدم خدمات الدفع لتنفيذ عملية إيداع أموال أو تحويلها أوسحبها سواء فى صورة ورقية أو إلكترونية تفويض الخصم المباشر اتفاق يقوم بموجبه الدافع بمنح الحمق للمستفيد فى إصدار تعليمات إلى مقدم خدمات الدفع لتنفيذ أمرخصم مباشر أو أكثر على حساب الدافع لصالح المستفيد طبقًا للقيم وتواريخ الاستحقاق المبينة به أمر الخصم المباشر - أمر دفع يصدر للخصم من حساب الدافع لمصلحة المستفيد بنا على طلبه طبقًا للتعليمات الواردة بتفويض _ الخصم المباشر امر التحويل : تعليممات يصدرها المشارك إلى نظام الدفع طبقا لقواعد هذا النظا بغرض تحويل الأموال من حسابه إلى حساب مشارك آخر من خلال نظام الدفع نظام الدفع : مجموعة من الوسائل والإجراءات لسداد أومقاصة أو تسوية الأموال عن طريق تحويل الأموال بين طرفين أو أكثر من خلال نظام إلكترونى المشارك : أى طرف يكون مسموحًا له بسداد الأموال أو تلقيها أوالمقاصة بينها أو تسويتها من خلال نظام الدفع سواءكان ذلك بصورة مباشرة أوغير مباشرة
CBE Law No. 194 of 2020.pdf;9;PDF;"الجريدة الرسمية العدد ٣٧ مكرر ( فى ٥ سبتمبر سنة ٢٠٢٠ خدمات الدفع ; جميع الخدمات المرتبطة بمعلومات الحساب أوبإصدار أو إرسال أوامر وعمليات الدفع أواستقبالها أوتنفيذها سواء بالعملة المحلية أو بالعملات الأجنبية وتشمل إصدار وإدارة أدوات الدفع والنقود الإلكترونية اداة دفع : وسيلة يعطى المستخدم من خلالها تعليماته لقدم خدمات الدفع لتنفيذ أمر الدفع التكنولوجيا المالية : نمساذج أعمال أوتطبيقات أومنتجات مالية قائمة على استخدام التكنولوجيا التكنولوجيا الرقابية : استخدام التطبيقات التكنولوجية للتأكد من الالتزام بالقوانين والقواعد المقررة النقود الإكترونية : قيمة نقدية مقومة بالجنيسه المصرى أو بإحسدى العملات المصدرة من سلطات إصدار النقد الرسمية مستحقة على المرخص له بإصدارها وتكون مخزنة إلكترونيًا ومقبولة كوسيلة دفع العملات المشفرة : عملات مخزنة إلكترونيا غير مقومة بأى من العملات الصادرة عن سلطات إصدار النقد الرسمية ويتم تداولها عبر شبكة الإنترنت شركات تحويل الا'موال : الشركات الرخص لها طبقًا لأحكام هذا القانون بمزاولة نشاط تحويل الأموال من جمهورية مصر العربية وإليها الشمول امالى : إتاحة مختلف الخدمات المالية للاستخدام من قبل جميع فئات الجتمع من خلال القنوات الرسمية بجودة وتكلفة مناسبة مع حماية حقوق الستفيدين من تلك الخدمات بما يمكنهم من إدارة أموالهم بشكل سليم"
